;mack;date_publish;price_adjustment;price_closing;rate_of_change;gdkl_kl;gdkl_gt;gdtt_kl;gdtt_gt;price_open;price_highest;price_lowest
179;CMX;2021-09-22;12.86;14.15;0.55 (4.04 %);650.8;9007000000;0;0;13.50;14.30;13.50
180;CMX;2021-09-23;12.59;13.85;-0.30 (-2.12 %);363.9;5095000000;0;0;14.20;14.30;13.85
181;CMX;2021-09-24;12.55;13.80;-0.05 (-0.36 %);186.8;2573000000;0;0;13.95;13.95;13.60
182;CMX;2021-09-27;12.09;13.30;-0.50 (-3.62 %);375.1;5060000000;0;0;13.70;13.85;13.30
183;CMX;2021-09-28;12.18;13.40;0.10 (0.75 %);317.6;4208000000;0;0;13.00;13.50;13.00
184;CMX;2021-09-29;12.14;13.35;-0.05 (-0.37 %);165.9;2204000000;0;0;13.45;13.45;13.20
185;CMX;2021-09-30;12.32;13.55;0.20 (1.50 %);99.3;1345000000;0;0;13.40;13.65;13.40
186;CMX;2021-10-01;12.18;13.40;-0.15 (-1.11 %);270.5;3631000000;0;0;13.55;13.65;13.20
187;CMX;2021-10-04;12.68;13.95;0.55 (4.10 %);847.9;11730000000;0;0;13.50;14.05;13.30
188;CMX;2021-10-05;12.86;14.15;0.20 (1.43 %);717;10125000000;0;0;14.10;14.35;13.95
189;CMX;2021-10-06;13.00;14.30;0.15 (1.06 %);597.3;8475000000;0;0;14.20;14.35;14.10
190;CMX;2021-10-07;13.55;14.90;0.60 (4.20 %);1.170.200;17163000000;0;0;14.45;15.00;14.30
191;CMX;2021-10-08;13.09;14.40;-0.50 (-3.36 %);713.6;10551000000;0;0;15.30;15.30;14.35
192;CMX;2021-10-11;13.00;14.30;-0.10 (-0.69 %);389.4;5550000000;0;0;14.40;14.45;14.10
193;CMX;2021-10-12;12.95;14.25;-0.05 (-0.35 %);412.7;5822000000;0;0;14.15;14.25;14.00
194;CMX;2021-10-13;13.09;14.40;0.15 (1.05 %);400.2;5750000000;0;0;14.20;14.50;14.15
195;CMX;2021-10-14;13.09;14.40;0.00 (0.00 %);332.5;4768000000;0;0;14.25;14.50;14.25
196;CMX;2021-10-15;12.77;14.05;-0.35 (-2.43 %);418.3;5937000000;0;0;14.40;14.40;14.05
197;CMX;2021-10-18;12.68;13.95;-0.10 (-0.71 %);514.3;7152000000;0;0;14.00;14.05;13.75
198;CMX;2021-10-19;12.68;13.95;0.00 (0.00 %);354.7;4944000000;0;0;13.95;14.10;13.80
199;CMX;2021-10-20;12.45;13.70;-0.25 (-1.79 %);1.615.600;22116000000;0;0;13.75;13.95;13.50
200;CMX;2021-10-21;12.91;14.20;0.50 (3.65 %);1.434.600;20181000000;0;0;13.80;14.35;13.75
201;CMX;2021-10-22;13.77;15.15;0.95 (6.69 %);3.182.500;47167000000;0;0;14.60;15.15;14.40
202;CMX;2021-10-25;14.00;15.40;0.25 (1.65 %);2.157.000;33637000000;0;0;15.60;15.85;15.30
203;CMX;2021-10-26;14.32;15.75;0.35 (2.27 %);1.770.400;27046000000;0;0;14.80;15.80;14.80
204;CMX;2021-10-27;14.55;16.00;0.25 (1.59 %);2.646.200;42897000000;0;0;16.00;16.40;15.80
205;CMX;2021-10-28;14.55;16.00;0.00 (0.00 %);1.265.400;20213000000;0;0;16.10;16.25;15.80
206;CMX;2021-10-29;14.73;16.20;0.20 (1.25 %);1.826.400;29372000000;0;0;16.20;16.30;15.90
207;CMX;2021-11-01;15.73;17.30;1.10 (6.79 %);3.371.400;57241000000;0;0;16.50;17.30;16.25
208;CMX;2021-11-02;15.91;17.50;0.20 (1.16 %);1.343.300;23460000000;0;0;17.30;17.80;17.10
209;CMX;2021-11-03;14.82;16.30;-1.20 (-6.86 %);2.681.200;45183000000;0;0;17.50;17.55;16.30
210;CMX;2021-11-04;15.82;17.40;1.10 (6.75 %);2.462.300;41771000000;0;0;16.40;17.40;16.10
211;CMX;2021-11-05;16.91;18.60;1.20 (6.90 %);3.082.700;57287000000;0;0;18.50;18.60;18.30
212;CMX;2021-11-08;17.77;19.55;0.95 (5.11 %);5.499.300;107374000000;0;0;19.90;19.90;18.80
213;CMX;2021-11-09;17.27;19.00;-0.55 (-2.81 %);2.277.800;43353000000;0;0;19.15;19.50;18.70
214;CMX;2021-11-10;17.59;19.35;0.35 (1.84 %);2.451.900;47589000000;0;0;18.90;20.00;18.65
215;CMX;2021-11-11;17.27;19.00;-0.35 (-1.81 %);2.667.400;51395000000;0;0;19.80;19.80;18.90
216;CMX;2021-11-12;18.05;19.85;0.85 (4.47 %);3.354.000;64936000000;0;0;18.90;19.90;18.90
217;CMX;2021-11-15;17.82;19.60;-0.25 (-1.26 %);2.869.200;56853000000;0;0;20.00;20.50;19.00
218;CMX;2021-11-16;17.27;19.00;-0.60 (-3.06 %);2.010.900;38165000000;0;0;19.50;19.50;18.50
219;CMX;2021-11-17;17.45;19.20;0.20 (1.05 %);1.703.800;32885000000;0;0;18.80;20.00;18.55
220;CMX;2021-11-18;17.18;18.90;-0.30 (-1.56 %);2.208.700;41968000000;0;0;19.50;19.50;18.80
221;CMX;2021-11-19;16.09;17.70;-1.20 (-6.35 %);3.047.900;55437000000;0;0;18.90;18.90;17.60
222;CMX;2021-11-22;15.64;17.20;-0.50 (-2.82 %);1.402.100;24699000000;0;0;17.80;18.20;17.10
223;CMX;2021-11-23;16.73;18.40;1.20 (6.98 %);855.3;15380000000;0;0;17.20;18.40;17.20
224;CMX;2021-11-24;17.86;19.65;1.25 (6.79 %);1.615.200;31694000000;0;0;19.65;19.65;19.40
225;CMX;2021-11-25;19.09;21.00;1.35 (6.87 %);4.609.500;96092000000;0;0;21.00;21.00;20.10
226;CMX;2021-11-26;20.36;22.40;1.40 (6.67 %);2.780.400;60976000000;0;0;21.50;22.45;21.05
227;CMX;2021-11-29;20.36;22.40;0.00 (0.00 %);1.980.600;44803000000;0;0;21.00;23.45;21.00
228;CMX;2021-11-30;19.59;21.55;-0.85 (-3.79 %);3.018.200;65886000000;0;0;22.40;22.90;21.30
229;CMX;2021-12-01;19.55;21.50;-0.05 (-0.23 %);1.457.000;31645000000;0;0;21.55;22.40;21.45
230;CMX;2021-12-02;20.27;22.30;0.80 (3.72 %);2.187.900;47789000000;145;3.327.750.000;21.00;22.50;21.00
231;CMX;2021-12-03;19.09;21.00;-1.30 (-5.83 %);1.642.600;35411000000;0;0;22.30;22.30;21.00
232;CMX;2021-12-06;17.77;19.55;-1.45 (-6.90 %);2.227.500;44347000000;0;0;20.50;21.00;19.55
233;CMX;2021-12-07;19.00;20.90;1.35 (6.91 %);1.761.600;34532000000;0;0;19.55;20.90;18.60
234;CMX;2021-12-08;18.73;20.60;-0.30 (-1.44 %);805.8;16930000000;0;0;21.10;21.60;20.60
